[央视频道],#genre#
湖南卫视,http://118.81.49.15:8084/rtp/226.0.2.143:9056
湖南卫视,http://221.205.186.181:5555/rtp/226.0.2.143:9056
湖南卫视,http://125.123.138.149:58888/rtp/233.50.201.103:5140
湖南卫视,http://110.191.246.220:8888/udp/239.93.0.88:5140
湖南卫视,http://118.112.192.158:4022/udp/239.93.0.88:5140
湖南卫视,http://111.192.169.51:8888/rtp/239.3.1.132:8012
湖南卫视,http://116.232.128.210:8888/udp/239.45.3.228:5140
湖南卫视,http://116.232.128.210:8888/udp/239.45.3.233:5140
甘肃卫视,http://118.112.192.158:4022/udp/239.93.0.81:5140
甘肃卫视,http://110.191.246.220:8888/udp/239.93.0.81:5140
贵州卫视,http://118.81.49.15:8084/rtp/226.0.2.180:9352
贵州卫视,http://171.117.142.71:8082/rtp/226.0.2.180:9352
贵州卫视,http://221.205.186.181:5555/rtp/226.0.2.180:9352
贵州卫视,http://125.123.138.149:58888/rtp/233.50.201.142:5140
贵州卫视,http://111.192.169.51:8888/rtp/239.3.1.149:8076
贵州卫视,http://110.191.246.220:8888/udp/239.93.0.131:5140
贵州卫视,http://118.112.192.158:4022/udp/239.93.0.131:5140
贵州卫视,http://116.232.128.210:8888/udp/239.45.1.80:5140
辽宁卫视,http://118.81.49.15:8084/rtp/226.0.2.173:9296
辽宁卫视,http://171.117.142.71:8082/rtp/226.0.2.173:9296
辽宁卫视,http://221.205.186.181:5555/rtp/226.0.2.173:9296
辽宁卫视,http://110.191.246.220:8888/udp/239.93.1.108:5140
辽宁卫视,http://111.192.169.51:8888/rtp/239.3.1.210:8056
辽宁卫视,http://118.112.192.158:4022/udp/239.93.1.108:5140
辽宁卫视,http://116.232.128.210:8888/udp/239.45.1.123:5140
辽宁卫视,http://125.123.138.149:58888/rtp/233.50.201.141:5140
重庆卫视,http://118.81.49.15:8084/rtp/226.0.2.174:9304
重庆卫视,http://171.117.142.71:8082/rtp/226.0.2.174:9304
重庆卫视,http://221.205.186.181:5555/rtp/226.0.2.174:9304
重庆卫视,http://125.123.138.149:58888/rtp/233.50.201.143:5140
重庆卫视,http://110.191.246.220:8888/udp/239.93.1.107:5140
重庆卫视,http://111.192.169.51:8888/rtp/239.3.1.122:8160
重庆卫视,http://116.232.128.210:8888/udp/239.45.1.84:5140
重庆卫视,http://118.112.192.158:4022/udp/239.93.1.107:5140
黑龙江卫视,http://118.81.49.15:8084/rtp/226.0.2.151:9120
黑龙江卫视,http://221.205.186.181:5555/rtp/226.0.2.151:9120
黑龙江卫视,http://171.117.142.71:8082/rtp/226.0.2.151:9120
黑龙江卫视,http://111.192.169.51:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://110.191.246.220:8888/udp/239.93.0.183:5140
黑龙江卫视,http://125.123.138.149:58888/rtp/233.50.201.115:5140
黑龙江卫视,http://118.112.192.158:4022/udp/239.93.0.183:5140
黑龙江卫视,http://116.232.128.210:8888/udp/239.45.3.232:5140

[电影频道],#genre#
CHC动作电影,http://118.81.49.15:8084/rtp/226.0.2.94:8012
CHC动作电影,http://171.117.142.71:8082/rtp/226.0.2.94:8012
CHC动作电影,http://221.205.186.181:5555/rtp/226.0.2.94:8012
CHC家庭影院,http://118.81.49.15:8084/rtp/226.0.2.240:9820
CHC家庭影院,http://221.205.186.181:5555/rtp/226.0.2.240:9820
CHC家庭影院,http://171.117.142.71:8082/rtp/226.0.2.240:9820
CHC高清电影,http://221.205.186.181:5555/rtp/226.0.2.93:8004
CHC高清电影,http://118.81.49.15:8084/rtp/226.0.2.93:8004
CHC高清电影,http://171.117.142.71:8082/rtp/226.0.2.93:8004

[SITV系列],#genre#
SITV七彩戏剧,http://116.232.128.210:8888/udp/239.45.3.61:5140
SITV东方财经,http://118.81.49.15:8084/rtp/226.0.2.76:8520
SITV东方财经,http://171.117.142.71:8082/rtp/226.0.2.76:8520
SITV东方财经,http://221.205.186.181:5555/rtp/226.0.2.76:8520
SITV东方财经,http://118.112.192.158:4022/udp/239.93.1.165:5140
SITV东方财经,http://110.191.246.220:8888/udp/239.93.1.165:5140
SITV乐游,http://171.117.142.71:8082/rtp/226.0.2.77:8528
SITV乐游,http://118.81.49.15:8084/rtp/226.0.2.77:8528
SITV乐游,http://221.205.186.181:5555/rtp/226.0.2.77:8528
SITV乐游,http://116.232.128.210:8888/udp/239.45.3.135:5140
SITV动漫秀场,http://118.81.49.15:8084/rtp/226.0.2.183:9376
SITV动漫秀场,http://171.117.142.71:8082/rtp/226.0.2.183:9376
SITV动漫秀场,http://221.205.186.181:5555/rtp/226.0.2.183:9376
SITV动漫秀场,http://116.232.128.210:8888/udp/239.45.3.134:5140
SITV欢笑剧场,http://116.232.128.210:8888/udp/239.45.3.196:5140
SITV法治天地,http://118.81.49.15:8084/rtp/226.0.2.83:8576
SITV法治天地,http://171.117.142.71:8082/rtp/226.0.2.83:8576
SITV法治天地,http://221.205.186.181:5555/rtp/226.0.2.83:8576
SITV法治天地,http://116.232.128.210:8888/udp/239.45.1.46:5140
SITV游戏风云,http://118.81.49.15:8084/rtp/226.0.2.78:8536
SITV游戏风云,http://221.205.186.181:5555/rtp/226.0.2.78:8536
SITV游戏风云,http://171.117.142.71:8082/rtp/226.0.2.78:8536
SITV游戏风云,http://116.232.128.210:8888/udp/239.45.3.131:5140
SITV生活时尚,http://118.112.192.158:4022/udp/239.93.42.29:5140
SITV生活时尚,http://110.191.246.220:8888/udp/239.93.42.29:5140
SITV生活时尚,http://118.81.49.15:8084/rtp/226.0.2.84:8584
SITV生活时尚,http://221.205.186.181:5555/rtp/226.0.2.84:8584
SITV生活时尚,http://171.117.142.71:8082/rtp/226.0.2.84:8584
SITV生活时尚,http://116.232.128.210:8888/udp/239.45.3.132:5140
SITV都市剧场,http://118.112.192.158:4022/udp/239.93.42.30:5140
SITV都市剧场,http://110.191.246.220:8888/udp/239.93.42.30:5140
SITV都市剧场,http://118.81.49.15:8084/rtp/226.0.2.81:8560
SITV都市剧场,http://221.205.186.181:5555/rtp/226.0.2.81:8560
SITV都市剧场,http://171.117.142.71:8082/rtp/226.0.2.81:8560
SITV都市剧场,http://116.232.128.210:8888/udp/239.45.3.136:5140
SITV金色学堂,http://118.81.49.15:8084/rtp/226.0.2.182:9368
SITV金色学堂,http://221.205.186.181:5555/rtp/226.0.2.182:9368
SITV金色学堂,http://171.117.142.71:8082/rtp/226.0.2.182:9368

[地方频道],#genre#
上海哈哈炫动,http://116.232.128.210:8888/udp/239.45.3.12:5140
上海哈哈炫动,http://116.232.128.210:8888/udp/239.45.1.55:5140
上海新闻综合,http://116.232.128.210:8888/udp/239.45.3.209:5140
上海第一财经,http://116.232.128.210:8888/udp/239.45.3.211:5140
上海纪实人文,http://221.205.186.181:5555/rtp/226.0.2.193:9456
上海纪实人文,http://171.117.142.71:8082/rtp/226.0.2.193:9456
上海纪实人文,http://118.81.49.15:8084/rtp/226.0.2.193:9456
上海纪实人文,http://110.191.246.220:8888/udp/239.93.1.137:5140
上海纪实人文,http://118.112.192.158:4022/udp/239.93.1.137:5140
体育休闲,http://111.192.169.51:8888/rtp/239.3.1.243:8000
北京纪实科教,http://111.192.169.51:8888/rtp/239.3.1.115:8000
